# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
3225 12900 128.856 -53.877 -574.823 383.712 -958.536 -958.536
3250 13000 124.032 -52.9911 -587.362 369.346 -956.708 -956.708
3275 13100 131.274 -65.7674 -571.898 390.91 -962.808 -962.808
3300 13200 133.378 -39.8977 -559.871 397.177 -957.048 -957.048
3325 13300 129.625 -28.9353 -565.697 386.002 -951.698 -951.698
3350 13400 130.676 -79.0967 -572.326 389.131 -961.457 -961.457
3375 13500 128.9 -100.637 -579.835 383.843 -963.678 -963.678
3400 13600 127.661 -95.9327 -581.871 380.153 -962.024 -962.024
3425 13700 129.588 -68.9269 -571.397 385.891 -957.288 -957.288
3450 13800 134.173 -64.6295 -559.15 399.543 -958.693 -958.693
3475 13900 131.709 -73.9416 -567.895 392.207 -960.102 -960.102
3500 14000 126.269 -84.8941 -584.912 376.008 -960.92 -960.92
3525 14100 126.566 -79.0879 -582.403 376.892 -959.295 -959.295
3550 14200 132.461 -59.055 -562.812 394.445 -957.257 -957.257
3575 14300 133.668 -39.3477 -555.891 398.041 -953.933 -953.933
3600 14400 128.44 -33.6737 -567.504 382.472 -949.977 -949.977
3625 14500 128.513 -63.2302 -572.525 382.691 -955.216 -955.216
3650 14600 131.16 -93.5085 -570.815 390.572 -961.387 -961.387
3675 14700 129.316 -90.4145 -572.288 385.08 -957.368 -957.368
3700 14800 131.38 -116.225 -571.673 391.229 -962.901 -962.901
3725 14900 130.028 -133.842 -578.92 387.201 -966.121 -966.121
3750 15000 128.039 -146.226 -587.28 381.277 -968.557 -968.557
3775 15100 127.219 -125.579 -584.325 378.835 -963.16 -963.16
3800 15200 132.58 -113.03 -569.035 394.799 -963.834 -963.834
3825 15300 132.698 -88.6471 -565.345 395.152 -960.497 -960.497
3850 15400 127.07 -61.4246 -575.078 378.392 -953.47 -953.47
3875 15500 130.351 -86.1609 -573.58 388.163 -961.744 -961.744
3900 15600 129.954 -67.4215 -570.181 386.981 -957.162 -957.162
3925 15700 130.577 -59.0779 -568.072 388.837 -956.909 -956.909
3950 15800 130.42 -55.0585 -568.859 388.367 -957.226 -957.226
3975 15900 127.664 -35.8259 -570.454 380.16 -950.614 -950.614
4000 16000 133.94 -86.2847 -564.493 398.851 -963.343 -963.343
4025 16100 131.812 -124.153 -576.661 392.514 -969.175 -969.175
4050 16200 123.429 -114.787 -594.854 367.551 -962.404 -962.404
4075 16300 130.087 -136.984 -583.467 387.378 -970.846 -970.846
4100 16400 133.326 -103.413 -568.421 397.021 -965.443 -965.443
4125 16500 131.322 -84.3989 -572.399 391.055 -963.454 -963.454
4150 16600 125.63 -49.4738 -581.244 374.104 -955.348 -955.348
4175 16700 129.294 -33.1856 -570.655 385.016 -955.671 -955.671
4200 16800 134.647 -24.6736 -555.446 400.955 -956.401 -956.401
4225 16900 132.347 -37.4137 -564.024 394.108 -958.132 -958.132
4250 17000 124.314 -29.1971 -582.965 370.186 -953.151 -953.151
4275 17100 129.172 -49.2519 -575.918 384.652 -960.571 -960.571
4300 17200 135.724 -74.1808 -565.292 404.164 -969.456 -969.456
4325 17300 126.807 -37.5978 -578.441 377.61 -956.05 -956.05
4350 17400 126.613 -39.636 -578.2 377.032 -955.232 -955.232
4375 17500 135.68 -84.7591 -564.902 404.03 -968.933 -968.933
4400 17600 129.924 -72.2425 -576.442 386.891 -963.333 -963.333
4425 17700 126.873 -88.2159 -589.996 377.805 -967.801 -967.801
4450 17800 125.638 -49.4138 -585.061 374.128 -959.19 -959.19
4475 17900 132.984 -21.2359 -560.54 396.004 -956.544 -956.544
4500 18000 136.198 -8.05849 -549.585 405.576 -955.161 -955.161
4525 18100 129.735 -28.5551 -572.073 386.328 -958.402 -958.402
4550 18200 123.864 -52.0133 -591.365 368.845 -960.21 -960.21
4575 18300 130.965 -99.3371 -581.435 389.991 -971.426 -971.426
4600 18400 132.211 -86.2493 -573.288 393.703 -966.991 -966.991
4625 18500 126.893 -39.8723 -574.719 377.865 -952.584 -952.584
4650 18600 132.49 -65.5837 -564.719 394.534 -959.253 -959.253
4675 18700 132.918 -85.1132 -567.436 395.808 -963.244 -963.244
4700 18800 125.761 -68.0861 -582.196 374.495 -956.69 -956.69
4725 18900 128.666 -79.791 -578.336 383.147 -961.482 -961.482
4750 19000 132.631 -71.7087 -567.542 394.954 -962.495 -962.495
4775 19100 130.185 -40.9492 -568.112 387.667 -955.78 -955.78
4800 19200 128.531 -27.348 -570.54 382.743 -953.283 -953.283
4825 19300 130.001 -23.9346 -566.65 387.122 -953.772 -953.772
4850 19400 131.164 -23.1602 -562.408 390.583 -952.99 -952.99
4875 19500 131.89 -47.7089 -565.118 392.745 -957.863 -957.863
4900 19600 129.334 -73.7805 -576.826 385.135 -961.962 -961.962
4925 19700 126.655 -77.8472 -584.5 377.158 -961.657 -961.657
4950 19800 129.898 -71.2915 -576.543 386.813 -963.356 -963.356
4975 19900 132.219 -49.4859 -567.128 393.726 -960.854 -960.854
5000 20000 132.416 -56.349 -569.281 394.312 -963.592 -963.592
5025 20100 128.626 -68.3342 -583.584 383.027 -966.611 -966.611
5050 20200 126.38 -67.5258 -590.315 376.339 -966.653 -966.653
5075 20300 131.96 -79.8835 -579.716 392.955 -972.671 -972.671
5100 20400 130.015 -41.8087 -575.819 387.162 -962.981 -962.981
5125 20500 129.548 -26.7132 -574.747 385.771 -960.518 -960.518
5150 20600 129.021 0.939769 -570.2 384.202 -954.402 -954.402
5175 20700 131.328 11.2667 -560.78 391.072 -951.853 -951.853
5200 20800 132.543 -2.39213 -558.294 394.692 -952.986 -952.986
5225 20900 129.338 -18.5668 -567.225 385.147 -952.371 -952.371
5250 21000 130.594 -76.3848 -576.252 388.887 -965.14 -965.14
5275 21100 127.387 -88.3436 -585.527 379.338 -964.864 -964.864
5300 21200 127.85 -83.0008 -582.393 380.715 -963.108 -963.108
5325 21300 131.573 -61.2095 -568.839 391.803 -960.642 -960.642
5350 21400 133.264 -53.0316 -564.209 396.837 -961.046 -961.046
5375 21500 129.573 -61.2143 -576.049 385.845 -961.894 -961.894
5400 21600 126.526 -69.3853 -585.246 376.773 -962.018 -962.018
5425 21700 129.516 -72.2961 -577.535 385.676 -963.211 -963.211
5450 21800 131.912 -54.957 -567.278 392.811 -960.089 -960.089
5475 21900 130.442 -34.4132 -565.586 388.433 -954.02 -954.02
5500 22000 131.222 -60.5084 -568.242 390.755 -958.998 -958.998
5525 22100 130.429 -99.9533 -578.61 388.396 -967.006 -967.006
5550 22200 125.149 -88.0204 -587.423 372.672 -960.095 -960.095
5575 22300 130.768 -96.8266 -573.861 389.405 -963.265 -963.265
5600 22400 136.93 -125.169 -565.53 407.756 -973.285 -973.285
5625 22500 126.585 -99.9131 -587.725 376.949 -964.674 -964.674
5650 22600 126.007 -114.014 -594.279 375.227 -969.506 -969.506
5675 22700 129.762 -89.4991 -580.007 386.41 -966.417 -966.417
5700 22800 132.575 -41.9411 -564.384 394.786 -959.17 -959.17
5725 22900 130.974 0.609563 -561.483 390.018 -951.501 -951.501
5750 23000 129.906 6.72972 -565.088 386.836 -951.924 -951.924
5775 23100 130.617 -10.3384 -568.887 388.956 -957.842 -957.842
5800 23200 127.991 -8.0887 -574.609 381.136 -955.745 -955.745
5825 23300 129.329 -17.2934 -571.239 385.12 -956.358 -956.358
5850 23400 132.704 -39.9317 -564.827 395.169 -959.996 -959.996
5875 23500 131.735 -67.0304 -571.89 392.283 -964.173 -964.173
5900 23600 125.607 -57.9981 -585.288 374.036 -959.324 -959.324
5925 23700 127.041 -40.6166 -577.359 378.307 -955.666 -955.666
5950 23800 133.848 -25.3857 -555.514 398.575 -954.089 -954.089
5975 23900 135.41 -40.6658 -555.245 403.229 -958.474 -958.474
6000 24000 127.238 -57.3219 -579.631 378.892 -958.522 -958.522
