# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
2525 110100 130.428 40.5592 1.18202 38.2847 38.2847 38.2847 -730.604 388.393 -1119 -1119
2550 110200 131.474 75.798 1.18775 38.2231 38.2231 38.2231 -730.209 391.507 -1121.72 -1121.72
2575 110300 126.387 156.485 1.1947 38.1488 38.1488 38.1488 -737.299 376.359 -1113.66 -1113.66
2600 110400 127.111 137.366 1.19618 38.1331 38.1331 38.1331 -740.483 378.515 -1119 -1119
2625 110500 133.565 109.112 1.19353 38.1612 38.1612 38.1612 -724.952 397.732 -1122.68 -1122.68
2650 110600 132.776 103.001 1.18967 38.2024 38.2024 38.2024 -721.417 395.386 -1116.8 -1116.8
2675 110700 127.098 56.2456 1.18595 38.2424 38.2424 38.2424 -738.053 378.477 -1116.53 -1116.53
2700 110800 124.788 37.7149 1.18693 38.2319 38.2319 38.2319 -748.272 371.598 -1119.87 -1119.87
2725 110900 133.555 76.5061 1.1942 38.1541 38.1541 38.1541 -728.837 397.705 -1126.54 -1126.54
2750 111000 135.971 147.09 1.20373 38.0532 38.0532 38.0532 -723.79 404.899 -1128.69 -1128.69
2775 111100 130.426 192.802 1.20802 38.0081 38.0081 38.0081 -736.628 388.386 -1125.01 -1125.01
2800 111200 131.03 132.7 1.20292 38.0617 38.0617 38.0617 -740.907 390.186 -1131.09 -1131.09
2825 111300 128.129 68.3615 1.19425 38.1536 38.1536 38.1536 -748.929 381.545 -1130.47 -1130.47
2850 111400 127.463 28.3657 1.18954 38.2039 38.2039 38.2039 -751.781 379.562 -1131.34 -1131.34
2875 111500 132.817 48.7124 1.19237 38.1736 38.1736 38.1736 -736.612 395.505 -1132.12 -1132.12
2900 111600 136.737 89.84 1.20078 38.0842 38.0842 38.0842 -728.974 407.181 -1136.15 -1136.15
2925 111700 127.587 145.188 1.20999 37.9874 37.9874 37.9874 -754.167 379.932 -1134.1 -1134.1
2950 111800 128.454 162.067 1.21414 37.9441 37.9441 37.9441 -754.562 382.515 -1137.08 -1137.08
2975 111900 130.945 141.047 1.21162 37.9703 37.9703 37.9703 -748.44 389.932 -1138.37 -1138.37
3000 112000 130.527 111.074 1.20473 38.0426 38.0426 38.0426 -745.238 388.689 -1133.93 -1133.93
3025 112100 130.535 82.306 1.19689 38.1254 38.1254 38.1254 -739.98 388.71 -1128.69 -1128.69
3050 112200 131.678 87.2678 1.19085 38.1898 38.1898 38.1898 -728.919 392.113 -1121.03 -1121.03
3075 112300 134.298 75.4023 1.1863 38.2386 38.2386 38.2386 -721.101 399.917 -1121.02 -1121.02
3100 112400 127.12 93.762 1.18385 38.265 38.265 38.265 -734.443 378.541 -1112.98 -1112.98
3125 112500 127.434 38.616 1.18331 38.2708 38.2708 38.2708 -745.764 379.478 -1125.24 -1125.24
3150 112600 127.504 94.3487 1.18828 38.2174 38.2174 38.2174 -741.54 379.685 -1121.22 -1121.22
3175 112700 136.232 151.942 1.19372 38.1593 38.1593 38.1593 -715.152 405.674 -1120.83 -1120.83
3200 112800 133.097 137.375 1.19412 38.1549 38.1549 38.1549 -725.264 396.34 -1121.6 -1121.6
3225 112900 127.801 94.4328 1.19103 38.1879 38.1879 38.1879 -741.189 380.571 -1121.76 -1121.76
3250 113000 128.274 76.6791 1.18798 38.2206 38.2206 38.2206 -738.07 381.979 -1120.05 -1120.05
3275 113100 132.334 83.8754 1.18738 38.227 38.227 38.227 -726.941 394.068 -1121.01 -1121.01
3300 113200 131.234 143.371 1.18794 38.221 38.221 38.221 -720.49 390.793 -1111.28 -1111.28
3325 113300 137.345 100.371 1.18469 38.2559 38.2559 38.2559 -711.427 408.989 -1120.42 -1120.42
3350 113400 127.509 92.4579 1.18043 38.3019 38.3019 38.3019 -732.878 379.7 -1112.58 -1112.58
3375 113500 126.977 53.6678 1.1772 38.3368 38.3368 38.3368 -738.079 378.117 -1116.2 -1116.2
3400 113600 132.239 61.0317 1.17838 38.3241 38.3241 38.3241 -725.625 393.785 -1119.41 -1119.41
3425 113700 131.026 151.179 1.18387 38.2647 38.2647 38.2647 -718.882 390.172 -1109.05 -1109.05
3450 113800 133.315 145.707 1.18607 38.2411 38.2411 38.2411 -718.165 396.988 -1115.15 -1115.15
3475 113900 127.368 106.841 1.18284 38.2758 38.2758 38.2758 -735.768 379.281 -1115.05 -1115.05
3500 114000 125.541 63.5783 1.17728 38.336 38.336 38.336 -741.692 373.839 -1115.53 -1115.53
3525 114100 128.78 94.8047 1.17336 38.3787 38.3787 38.3787 -721.989 383.486 -1105.48 -1105.48
3550 114200 131.308 105.075 1.16905 38.4258 38.4258 38.4258 -707.988 391.013 -1099 -1099
3575 114300 130.426 80.0905 1.16314 38.4908 38.4908 38.4908 -708.663 388.387 -1097.05 -1097.05
3600 114400 127.443 78.6651 1.15811 38.5464 38.5464 38.5464 -711.125 379.505 -1090.63 -1090.63
3625 114500 134.66 56.4886 1.15528 38.5778 38.5778 38.5778 -694.938 400.996 -1095.93 -1095.93
3650 114600 133.714 126.487 1.15581 38.5719 38.5719 38.5719 -684.321 398.179 -1082.5 -1082.5
3675 114700 127.884 112.849 1.15458 38.5857 38.5857 38.5857 -701.208 380.818 -1082.03 -1082.03
3700 114800 125.928 51.9779 1.1518 38.6167 38.6167 38.6167 -712.561 374.991 -1087.55 -1087.55
3725 114900 131.393 45.3261 1.15332 38.5996 38.5996 38.5996 -699.214 391.266 -1090.48 -1090.48
3750 115000 138.117 108.827 1.16041 38.5209 38.5209 38.5209 -677.16 411.289 -1088.45 -1088.45
3775 115100 144.175 111.503 1.16821 38.4349 38.4349 38.4349 -672.214 429.328 -1101.54 -1101.54
3800 115200 132.26 129.097 1.1751 38.3597 38.3597 38.3597 -708.192 393.849 -1102.04 -1102.04
3825 115300 130.284 90.3739 1.17981 38.3086 38.3086 38.3086 -728.239 387.962 -1116.2 -1116.2
3850 115400 126.407 105.425 1.18538 38.2485 38.2485 38.2485 -742.741 376.418 -1119.16 -1119.16
3875 115500 128.122 137.406 1.19063 38.1921 38.1921 38.1921 -737.497 381.526 -1119.02 -1119.02
3900 115600 135.31 123.642 1.1923 38.1744 38.1744 38.1744 -722.245 402.93 -1125.17 -1125.17
3925 115700 130.766 100.863 1.19121 38.186 38.186 38.186 -733.776 389.398 -1123.17 -1123.17
3950 115800 127.466 47.2185 1.19054 38.1931 38.1931 38.1931 -750.27 379.573 -1129.84 -1129.84
3975 115900 126.597 100.905 1.19453 38.1506 38.1506 38.1506 -746.429 376.985 -1123.41 -1123.41
4000 116000 131.727 125.198 1.19952 38.0976 38.0976 38.0976 -736.73 392.26 -1128.99 -1128.99
4025 116100 129.995 168.88 1.20152 38.0765 38.0765 38.0765 -736.707 387.102 -1123.81 -1123.81
4050 116200 127.894 153.555 1.1964 38.1307 38.1307 38.1307 -738.822 380.845 -1119.67 -1119.67
4075 116300 133.393 83.5524 1.18473 38.2555 38.2555 38.2555 -721.797 397.223 -1119.02 -1119.02
4100 116400 135.819 19.4616 1.17397 38.372 38.372 38.372 -714.617 404.445 -1119.06 -1119.06
4125 116500 126.752 37.4655 1.17064 38.4084 38.4084 38.4084 -731.651 377.444 -1109.1 -1109.1
4150 116600 129.509 47.9487 1.17438 38.3675 38.3675 38.3675 -730.68 385.657 -1116.34 -1116.34
4175 116700 131.064 137.274 1.18384 38.265 38.265 38.265 -722.908 390.286 -1113.19 -1113.19
4200 116800 135.546 223.29 1.19 38.199 38.199 38.199 -701.763 403.632 -1105.39 -1105.39
4225 116900 134.841 183.31 1.18365 38.2671 38.2671 38.2671 -700.865 401.532 -1102.4 -1102.4
4250 117000 127.722 40.8436 1.16824 38.4347 38.4347 38.4347 -724.678 380.335 -1105.01 -1105.01
4275 117100 126.714 -16.4704 1.15812 38.5462 38.5462 38.5462 -726.008 377.332 -1103.34 -1103.34
4300 117200 131.061 17.537 1.16015 38.5238 38.5238 38.5238 -713.939 390.279 -1104.22 -1104.22
4325 117300 131.049 121.047 1.17056 38.4093 38.4093 38.4093 -708.937 390.241 -1099.18 -1099.18
4350 117400 131.558 165.042 1.17926 38.3145 38.3145 38.3145 -710.407 391.759 -1102.17 -1102.17
4375 117500 133.228 120.088 1.18158 38.2895 38.2895 38.2895 -716.865 396.731 -1113.6 -1113.6
4400 117600 131.304 89.389 1.1817 38.2881 38.2881 38.2881 -727.841 391 -1118.84 -1118.84
4425 117700 125.94 115.3 1.18208 38.284 38.284 38.284 -735.001 375.029 -1110.03 -1110.03
4450 117800 134.548 52.7286 1.18202 38.2847 38.2847 38.2847 -725.007 400.661 -1125.67 -1125.67
4475 117900 129.282 106.849 1.18576 38.2444 38.2444 38.2444 -731.881 384.981 -1116.86 -1116.86
4500 118000 123.675 110.515 1.18965 38.2027 38.2027 38.2027 -749.962 368.282 -1118.24 -1118.24
4525 118100 131.224 93.0094 1.19261 38.1711 38.1711 38.1711 -737.106 390.764 -1127.87 -1127.87
4550 118200 134.58 133.963 1.19606 38.1343 38.1343 38.1343 -725.717 400.755 -1126.47 -1126.47
4575 118300 127.944 145.562 1.19632 38.1315 38.1315 38.1315 -741.394 380.995 -1122.39 -1122.39
4600 118400 122.243 42.4971 1.19251 38.1721 38.1721 38.1721 -769.968 364.019 -1133.99 -1133.99
4625 118500 121.924 25.7418 1.19354 38.1612 38.1612 38.1612 -772.994 363.07 -1136.06 -1136.06
4650 118600 128.695 109.474 1.2026 38.0651 38.0651 38.0651 -749.884 383.231 -1133.12 -1133.12
4675 118700 131.462 179.246 1.21237 37.9626 37.9626 37.9626 -741.055 391.472 -1132.53 -1132.53
4700 118800 132.979 169.917 1.21535 37.9315 37.9315 37.9315 -743.206 395.99 -1139.2 -1139.2
4725 118900 126.385 138.097 1.21026 37.9846 37.9846 37.9846 -758.972 376.353 -1135.33 -1135.33
4750 119000 129.378 32.5535 1.20027 38.0897 38.0897 38.0897 -757.894 385.266 -1143.16 -1143.16
4775 119100 133.194 11.6224 1.19562 38.139 38.139 38.139 -746.277 396.63 -1142.91 -1142.91
4800 119200 131.435 100.176 1.19977 38.095 38.095 38.095 -740.678 391.391 -1132.07 -1132.07
4825 119300 128.685 160.853 1.20541 38.0354 38.0354 38.0354 -744.191 383.203 -1127.39 -1127.39
4850 119400 131.042 119.349 1.20533 38.0363 38.0363 38.0363 -744.562 390.221 -1134.78 -1134.78
4875 119500 131.47 63.5406 1.20283 38.0626 38.0626 38.0626 -751.25 391.497 -1142.75 -1142.75
4900 119600 123.3 98.8799 1.20318 38.0589 38.0589 38.0589 -765.78 367.168 -1132.95 -1132.95
4925 119700 132.149 76.129 1.20479 38.042 38.042 38.042 -750.336 393.517 -1143.85 -1143.85
4950 119800 134.36 113.959 1.20904 37.9974 37.9974 37.9974 -744.29 400.101 -1144.39 -1144.39
4975 119900 127.802 178.695 1.21179 37.9686 37.9686 37.9686 -754.075 380.573 -1134.65 -1134.65
5000 120000 128.738 145.368 1.20686 38.0203 38.0203 38.0203 -753.065 383.36 -1136.42 -1136.42
5025 120100 129.798 94.433 1.19593 38.1357 38.1357 38.1357 -746.226 386.515 -1132.74 -1132.74
5050 120200 132.195 38.7247 1.18469 38.256 38.256 38.256 -736.558 393.654 -1130.21 -1130.21
5075 120300 130.712 28.0812 1.17974 38.3093 38.3093 38.3093 -737.17 389.238 -1126.41 -1126.41
5100 120400 123.548 64.0434 1.18235 38.2812 38.2812 38.2812 -751.033 367.905 -1118.94 -1118.94
5125 120500 128.406 100.771 1.18904 38.2093 38.2093 38.2093 -738.448 382.37 -1120.82 -1120.82
5150 120600 134.692 137.167 1.19591 38.1359 38.1359 38.1359 -723.093 401.09 -1124.18 -1124.18
5175 120700 129.961 164.65 1.19884 38.1048 38.1048 38.1048 -733.673 387.001 -1120.67 -1120.67
5200 120800 128.172 115.083 1.19569 38.1382 38.1382 38.1382 -745.096 381.674 -1126.77 -1126.77
5225 120900 126.375 106.835 1.19005 38.1984 38.1984 38.1984 -742.788 376.324 -1119.11 -1119.11
5250 121000 138.211 68.54 1.18399 38.2635 38.2635 38.2635 -712.518 411.569 -1124.09 -1124.09
5275 121100 133.92 64.4473 1.18095 38.2962 38.2962 38.2962 -721.461 398.789 -1120.25 -1120.25
5300 121200 125.743 106.984 1.18147 38.2907 38.2907 38.2907 -736.54 374.441 -1110.98 -1110.98
5325 121300 127.283 134.624 1.1815 38.2904 38.2904 38.2904 -727.994 379.026 -1107.02 -1107.02
5350 121400 133.95 111.781 1.17787 38.3296 38.3296 38.3296 -711.133 398.88 -1110.01 -1110.01
5375 121500 130.169 91.7801 1.17266 38.3863 38.3863 38.3863 -717.539 387.621 -1105.16 -1105.16
5400 121600 128.173 57.3496 1.1684 38.4329 38.4329 38.4329 -723.051 381.678 -1104.73 -1104.73
5425 121700 131.85 22.256 1.16906 38.4256 38.4256 38.4256 -721.283 392.628 -1113.91 -1113.91
5450 121800 126.131 84.0368 1.1776 38.3326 38.3326 38.3326 -735.256 375.596 -1110.85 -1110.85
5475 121900 125.911 130.929 1.18907 38.2089 38.2089 38.2089 -743.867 374.94 -1118.81 -1118.81
5500 122000 131.544 189.189 1.19742 38.1198 38.1198 38.1198 -729.374 391.717 -1121.09 -1121.09
5525 122100 134.082 178.114 1.19674 38.1271 38.1271 38.1271 -722.312 399.275 -1121.59 -1121.59
5550 122200 127.552 99.3437 1.18767 38.2239 38.2239 38.2239 -740.855 379.828 -1120.68 -1120.68
5575 122300 124.5 20.1747 1.17829 38.3251 38.3251 38.3251 -751.84 370.738 -1122.58 -1122.58
5600 122400 130.802 53.0708 1.17665 38.3429 38.3429 38.3429 -728.09 389.506 -1117.6 -1117.6
5625 122500 132.695 115.984 1.17988 38.3078 38.3078 38.3078 -716.152 395.143 -1111.3 -1111.3
5650 122600 130.447 109.071 1.18225 38.2822 38.2822 38.2822 -726.019 388.448 -1114.47 -1114.47
5675 122700 127.203 91.9693 1.18379 38.2657 38.2657 38.2657 -737.418 378.788 -1116.21 -1116.21
5700 122800 129.547 80.5803 1.18602 38.2416 38.2416 38.2416 -733.405 385.769 -1119.17 -1119.17
5725 122900 136.361 81.3532 1.19054 38.1932 38.1932 38.1932 -718.449 406.06 -1124.51 -1124.51
5750 123000 132.651 94.0753 1.19754 38.1186 38.1186 38.1186 -733.61 395.013 -1128.62 -1128.62
5775 123100 127.884 123.315 1.20575 38.0318 38.0318 38.0318 -752.43 380.818 -1133.25 -1133.25
5800 123200 129.711 164.205 1.2124 37.9622 37.9622 37.9622 -751.311 386.257 -1137.57 -1137.57
5825 123300 128.766 208.219 1.21239 37.9624 37.9624 37.9624 -746.294 383.444 -1129.74 -1129.74
5850 123400 131.384 178.741 1.19992 38.0933 38.0933 38.0933 -727.76 391.24 -1119 -1119
5875 123500 132.895 58.0694 1.17691 38.3401 38.3401 38.3401 -716.165 395.738 -1111.9 -1111.9
5900 123600 129.867 -47.2117 1.1573 38.5553 38.5553 38.5553 -721.355 386.723 -1108.08 -1108.08
5925 123700 123.719 23.5039 1.15223 38.6118 38.6118 38.6118 -720.06 368.415 -1088.47 -1088.47
5950 123800 130.367 60.0007 1.15619 38.5677 38.5677 38.5677 -705.184 388.212 -1093.4 -1093.4
5975 123900 130.744 121.149 1.16402 38.4811 38.4811 38.4811 -704.283 389.333 -1093.62 -1093.62
6000 124000 130.116 149.138 1.16951 38.4207 38.4207 38.4207 -707.187 387.465 -1094.65 -1094.65
6025 124100 131.067 91.9608 1.17039 38.4111 38.4111 38.4111 -716.06 390.296 -1106.36 -1106.36
6050 124200 125.647 82.7168 1.17148 38.3991 38.3991 38.3991 -732.315 374.155 -1106.47 -1106.47
6075 124300 128.084 98.928 1.17395 38.3723 38.3723 38.3723 -724.706 381.413 -1106.12 -1106.12
6100 124400 138.444 79.9609 1.1773 38.3358 38.3358 38.3358 -706.038 412.263 -1118.3 -1118.3
6125 124500 132.123 124.165 1.18192 38.2858 38.2858 38.2858 -718.98 393.439 -1112.42 -1112.42
6150 124600 132.39 91.9629 1.18459 38.257 38.257 38.257 -728.871 394.235 -1123.11 -1123.11
6175 124700 127.732 102.132 1.18746 38.2261 38.2261 38.2261 -742.612 380.364 -1122.98 -1122.98
6200 124800 127.137 117.869 1.19042 38.1944 38.1944 38.1944 -744.54 378.592 -1123.13 -1123.13
6225 124900 132.686 148.055 1.19157 38.1821 38.1821 38.1821 -724.346 395.117 -1119.46 -1119.46
6250 125000 136.489 135.411 1.18775 38.2231 38.2231 38.2231 -712.099 406.442 -1118.54 -1118.54
6275 125100 128.937 108.878 1.17941 38.3129 38.3129 38.3129 -726.008 383.952 -1109.96 -1109.96
